preview_label,poi_id,building_id,level_id,name,route_node_id,access_control
201,poi_2f_b1_201,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼201,n_o_2f_b1_201,unknown
203,poi_2f_b1_203,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼203,n_o_2f_b1_203,unknown
205,poi_2f_b1_205,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼205,n_o_2f_b1_205,unknown
207,poi_2f_b1_207,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼207,n_o_2f_b1_207,unknown
209,poi_2f_b1_209,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼209,n_o_2f_b1_209,unknown
211,poi_2f_b1_211,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼211,n_o_2f_b1_211,unknown
202,poi_2f_b1_202,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼202,n_o_2f_b1_202,unknown
204,poi_2f_b1_204,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼204,n_o_2f_b1_204,unknown
206,poi_2f_b1_206,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼206,n_o_2f_b1_206,unknown
208,poi_2f_b1_208,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼208,,unknown
210,poi_2f_b1_210,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼210,n_o_2f_b1_210,unknown
212,poi_2f_b1_212,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼212,n_o_2f_b1_212,unknown
214,poi_2f_b1_214,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼214,n_o_2f_b1_214,unknown
216,poi_2f_b1_216,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼216,n_o_2f_b1_216,unknown
218,poi_2f_b1_218,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼218,n_o_2f_b1_218,unknown
220,poi_2f_b1_220,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼220,n_o_2f_b1_220,unknown
222,poi_2f_b1_222,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼222,n_o_2f_b1_222,unknown
224,poi_2f_b1_224,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼224,n_o_2f_b1_224,unknown
226,poi_2f_b1_226,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼226,n_o_2f_b1_226,unknown
228,poi_2f_b1_228,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼228,n_o_2f_b1_228,unknown
230,poi_2f_b1_230,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼230,n_o_2f_b1_230,unknown
201,poi_2f_b2_201,zju2_zijingang_b2,zju2_zijingang_b2_2f,二号楼201,n_o_2f_b2_201,unknown
202,poi_2f_b2_202,zju2_zijingang_b2,zju2_zijingang_b2_2f,二号楼202,n_o_2f_b2_202,unknown
206,poi_2f_b2_206,zju2_zijingang_b2,zju2_zijingang_b2_2f,二号楼206,n_o_2f_b2_206,unknown
208,poi_2f_b2_208,zju2_zijingang_b2,zju2_zijingang_b2_2f,二号楼208,n_o_2f_b2_208,unknown
210,poi_2f_b2_210,zju2_zijingang_b2,zju2_zijingang_b2_2f,二号楼210,n_o_2f_b2_210,unknown
212,poi_2f_b2_212,zju2_zijingang_b2,zju2_zijingang_b2_2f,二号楼212,n_o_2f_b2_212,unknown
216,poi_2f_b2_216,zju2_zijingang_b2,zju2_zijingang_b2_2f,二号楼216,n_o_2f_b2_216,unknown
218,poi_2f_b2_218,zju2_zijingang_b2,zju2_zijingang_b2_2f,二号楼218,n_o_2f_b2_218,unknown
220,poi_2f_b2_220,zju2_zijingang_b2,zju2_zijingang_b2_2f,二号楼220,n_o_2f_b2_220,unknown
203,poi_2f_b2_203,zju2_zijingang_b2,zju2_zijingang_b2_2f,二号楼203,n_o_2f_b2_203,unknown
205,poi_2f_b2_205,zju2_zijingang_b2,zju2_zijingang_b2_2f,二号楼205,n_o_2f_b2_205,unknown
207,poi_2f_b2_207,zju2_zijingang_b2,zju2_zijingang_b2_2f,二号楼207,n_o_2f_b2_207,unknown
209,poi_2f_b2_209,zju2_zijingang_b2,zju2_zijingang_b2_2f,二号楼209,n_o_2f_b2_209,unknown
P35,poi_2f_b1_stair_n,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼图上侧楼梯,n_o_2f_b1_stair_n,unknown
P36,poi_2f_b1_stair_s,zju2_zijingang_b1,zju2_zijingang_b1_2f,一号楼图下侧楼梯,n_o_2f_b1_stair_s,unknown
P37,poi_2f_b2_stair_n,zju2_zijingang_b2,zju2_zijingang_b2_2f,二号楼图上侧楼梯,n_o_2f_b2_stair_n,unknown
P38,poi_2f_b2_stair_s,zju2_zijingang_b2,zju2_zijingang_b2_2f,二号楼图下侧楼梯,n_o_2f_b2_stair_s,unknown
P39,poi_2f_b1_unlabelled_shaft,zju2_zijingang_b1,zju2_zijingang_b1_2f,未标注方框（用途待核）,,unknown
P40,poi_2f_b1_toilets,zju2_zijingang_b1,zju2_zijingang_b1_2f,toilets,,unknown
