preview_label,poi_id,building_id,level_id,name,route_node_id,access_control
103,poi_1f_b2_103,zju2_zijingang_b2,zju2_zijingang_b2_1f,二号楼103,n_o_1f_b2_103,unknown
102,poi_1f_b2_102,zju2_zijingang_b2,zju2_zijingang_b2_1f,二号楼102,n_o_1f_b2_102,unknown
101,poi_1f_b2_101,zju2_zijingang_b2,zju2_zijingang_b2_1f,二号楼101,n_o_1f_b2_101,unknown
129,poi_1f_b1_129,zju2_zijingang_b1,zju2_zijingang_b1_1f,一号楼129,n_o_1f_b1_129,unknown
127,poi_1f_b1_127,zju2_zijingang_b1,zju2_zijingang_b1_1f,一号楼127,n_o_1f_b1_127,unknown
125,poi_1f_b1_125,zju2_zijingang_b1,zju2_zijingang_b1_1f,一号楼125,n_o_1f_b1_125,unknown
P7,poi_1f_b2_mri,zju2_zijingang_b2,zju2_zijingang_b2_1f,图签 MIR（疑为 MRI，待核）,n_o_1f_b2_mri,unknown
P8,poi_1f_b2_electrical,zju2_zijingang_b2,zju2_zijingang_b2_1f,配电间,n_o_1f_b2_electrical,unknown
P9,poi_1f_b2_surgery,zju2_zijingang_b2,zju2_zijingang_b2_1f,手术室,n_o_1f_b2_surgery,unknown
P10,poi_1f_b1_pharmacy,zju2_zijingang_b1,zju2_zijingang_b1_1f,药剂科,,unknown
P11,poi_1f_b1_emergency_a,zju2_zijingang_b1,zju2_zijingang_b1_1f,急诊A区,n_o_1f_b1_emergency_a,unknown
P12,poi_1f_b1_infusion,zju2_zijingang_b1,zju2_zijingang_b1_1f,输液,n_o_1f_b1_infusion,unknown
P13,poi_1f_b1_observation,zju2_zijingang_b1,zju2_zijingang_b1_1f,观察,n_o_1f_b1_observation,unknown
107,poi_1f_b1_107,zju2_zijingang_b1,zju2_zijingang_b1_1f,一号楼107,,unknown
P15,poi_1f_b1_guard,zju2_zijingang_b1,zju2_zijingang_b1_1f,门卫（兼消控）,,unknown
P16,poi_1f_b1_service,zju2_zijingang_b1,zju2_zijingang_b1_1f,综合服务中心,n_o_1f_b1_service,unknown
P17,poi_1f_b2_machine_3,zju2_zijingang_b2,zju2_zijingang_b2_1f,3号机房,n_o_1f_b2_machine_3,unknown
P18,poi_1f_b2_machine_2,zju2_zijingang_b2,zju2_zijingang_b2_1f,2号机房,n_o_1f_b2_machine_2,unknown
P19,poi_1f_b2_machine_1,zju2_zijingang_b2,zju2_zijingang_b2_1f,1号机房,n_o_1f_b2_machine_1,unknown
P20,poi_1f_b2_radiology,zju2_zijingang_b2,zju2_zijingang_b2_1f,放射科,,unknown
P21,poi_1f_b1_laboratory,zju2_zijingang_b1,zju2_zijingang_b1_1f,检验科,n_o_1f_b1_laboratory,unknown
P22,poi_1f_b2_archive,zju2_zijingang_b2,zju2_zijingang_b2_1f,档案室,,unknown
P23,poi_1f_b2_clinic_n1,zju2_zijingang_b2,zju2_zijingang_b2_1f,肠道门诊,,unknown
P24,poi_1f_b2_clinic_n2,zju2_zijingang_b2,zju2_zijingang_b2_1f,发热门诊,,unknown
P25,poi_1f_b2_clinic_n3,zju2_zijingang_b2,zju2_zijingang_b2_1f,发热门诊,,unknown
P26,poi_1f_b2_clinic_n0,zju2_zijingang_b2,zju2_zijingang_b2_1f,图签待核门诊,,unknown
P27,poi_1f_b2_restroom_nw,zju2_zijingang_b2,zju2_zijingang_b2_1f,卫生间,,unknown
P28,poi_1f_b1_restroom_n,zju2_zijingang_b1,zju2_zijingang_b1_1f,卫生间,,unknown
P29,poi_1f_b1_stair_n,zju2_zijingang_b1,zju2_zijingang_b1_1f,楼梯2#,n_o_1f_b1_stair_n,unknown
P30,poi_1f_b1_stair_s,zju2_zijingang_b1,zju2_zijingang_b1_1f,楼梯1#,n_o_1f_b1_stair_s,unknown
P31,poi_1f_b2_stair_s,zju2_zijingang_b2,zju2_zijingang_b2_1f,西南楼梯,n_o_1f_b2_stair_s,unknown
P32,poi_1f_b1_entrance,zju2_zijingang_b1,zju2_zijingang_b1_1f,门诊入口,n_o_1f_b1_entrance,unknown
