origin,destination,walk_seconds,travel_minutes,distance_m,origin_poi_id,destination_poi_id,node_ids,edge_ids,profile,mapping_evidence_ids,status,source_bundle_sha256
ENTRANCE,infusion-1f,13.917188503017721,1,16.00476677847038,poi_1f_b1_entrance,poi_1f_b1_infusion,"[""n_o_1f_b1_entrance"",""n_1f_917_566"",""n_1f_917_460"",""n_1f_994_460"",""n_1f_984_438"",""n_o_1f_b1_infusion""]","[""e_1f_0055"",""e_1f_0053"",""e_1f_0054"",""e_1f_0057"",""e_1f_0058""]",ambulatory_draft,"[""current_workspace_key_contract"",""plan_1f""]",navigation_draft_not_survey,2acf6a20df2f4edc84580def58a7a4e4fa93cf9ced03486f35a56171ff3e4f1a
ENTRANCE,laboratory-1f,16.67484752560521,1,19.17607465444599,poi_1f_b1_entrance,poi_1f_b1_laboratory,"[""n_o_1f_b1_entrance"",""n_1f_917_566"",""n_1f_688_566"",""n_1f_688_610"",""n_1f_688_611"",""n_o_1f_b1_laboratory""]","[""e_1f_0055"",""e_1f_0045"",""e_1f_0044"",""e_1f_0046"",""e_1f_0048""]",ambulatory_draft,"[""current_workspace_key_contract"",""plan_1f""]",navigation_draft_not_survey,2acf6a20df2f4edc84580def58a7a4e4fa93cf9ced03486f35a56171ff3e4f1a
infusion-1f,ENTRANCE,13.917188503017721,1,16.004766778470376,poi_1f_b1_infusion,poi_1f_b1_entrance,"[""n_o_1f_b1_infusion"",""n_1f_984_438"",""n_1f_994_460"",""n_1f_917_460"",""n_1f_917_566"",""n_o_1f_b1_entrance""]","[""e_1f_0058"",""e_1f_0057"",""e_1f_0054"",""e_1f_0053"",""e_1f_0055""]",ambulatory_draft,"[""current_workspace_key_contract"",""plan_1f""]",navigation_draft_not_survey,2acf6a20df2f4edc84580def58a7a4e4fa93cf9ced03486f35a56171ff3e4f1a
infusion-1f,laboratory-1f,28.661089108642145,1,32.960252474938464,poi_1f_b1_infusion,poi_1f_b1_laboratory,"[""n_o_1f_b1_infusion"",""n_1f_984_438"",""n_1f_994_460"",""n_1f_917_460"",""n_1f_917_566"",""n_1f_688_566"",""n_1f_688_610"",""n_1f_688_611"",""n_o_1f_b1_laboratory""]","[""e_1f_0058"",""e_1f_0057"",""e_1f_0054"",""e_1f_0053"",""e_1f_0045"",""e_1f_0044"",""e_1f_0046"",""e_1f_0048""]",ambulatory_draft,"[""current_workspace_key_contract"",""plan_1f""]",navigation_draft_not_survey,2acf6a20df2f4edc84580def58a7a4e4fa93cf9ced03486f35a56171ff3e4f1a
laboratory-1f,ENTRANCE,16.67484752560521,1,19.17607465444599,poi_1f_b1_laboratory,poi_1f_b1_entrance,"[""n_o_1f_b1_laboratory"",""n_1f_688_611"",""n_1f_688_610"",""n_1f_688_566"",""n_1f_917_566"",""n_o_1f_b1_entrance""]","[""e_1f_0048"",""e_1f_0046"",""e_1f_0044"",""e_1f_0045"",""e_1f_0055""]",ambulatory_draft,"[""current_workspace_key_contract"",""plan_1f""]",navigation_draft_not_survey,2acf6a20df2f4edc84580def58a7a4e4fa93cf9ced03486f35a56171ff3e4f1a
laboratory-1f,infusion-1f,28.66108910864214,1,32.960252474938464,poi_1f_b1_laboratory,poi_1f_b1_infusion,"[""n_o_1f_b1_laboratory"",""n_1f_688_611"",""n_1f_688_610"",""n_1f_688_566"",""n_1f_917_566"",""n_1f_917_460"",""n_1f_994_460"",""n_1f_984_438"",""n_o_1f_b1_infusion""]","[""e_1f_0048"",""e_1f_0046"",""e_1f_0044"",""e_1f_0045"",""e_1f_0053"",""e_1f_0054"",""e_1f_0057"",""e_1f_0058""]",ambulatory_draft,"[""current_workspace_key_contract"",""plan_1f""]",navigation_draft_not_survey,2acf6a20df2f4edc84580def58a7a4e4fa93cf9ced03486f35a56171ff3e4f1a
