point_id,pixel_x,pixel_y,bd09_lon,bd09_lat,residual_m
1,1313.5,1144.5,120.09479530834602,30.315105942964294,2.383
2,1315.0,73.5,120.09524895262855,30.31510984002251,3.092
3,111.5,89.0,120.095244461101,30.31555800067346,1.724
4,2065.5,939.5,120.09490759653477,30.314883810387073,1.432
5,1730.477,357.5,120.09515013902245,30.315004619395676,1.496
6,1815.5,1094.5,120.09484920667661,30.314957854635992,1.231
